time, body_id, mass, pos_x, pos_y, pos_z, vel_x, vel_y, vel_z
0, 0, 1, 0.0075, 0.00465, 0.00016, -0.00108519, -0.00272463, 3.84191e-05
0, 1, 3.0035e-06, -0.16546, 0.96939, -0.00013, -6.29746, -1.07216, 0.000278419
0, 2, 1.6601e-07, -0.12876, -0.42817, -0.02982, 7.73519, -3.86264, -0.854042
0, 3, 2.4478e-06, -0.71769, -0.04659, 0.04397, 0.538575, -7.37494, -0.413002
0, 4, 3.2272e-07, -1.42433, -0.84078, -0.02422, 3.42311, -4.51137, -0.134012
0, 5, 0.00095479, 4.21855, -2.83515, -0.11189, 1.51897, 2.36827, -0.0592916
0, 6, 0.00028588, 6.59238, 6.78457, -0.36653, -1.51937, 1.3929, 0.0735684
0, 7, 4.3662e-05, 14.1705, -12.6822, -0.23727, 0.964775, 1.07152, -0.00244158
0, 8, 5.1514e-05, 20.8038, -21.4939, -0.72264, 0.821475, 0.811745, -0.0298116
0, 9, 7.396e-09, -11.1614, -27.8174, 13.0658, 1.08004, -0.112215, -0.320492
0.5, 0, 1, 0.00711716, 0.00320401, 0.000173733, -0.000405128, -0.00303218, 1.54072e-05
0.5, 1, 3.0035e-06, -0.00507954, -1.05845, 0.000491395, 5.89507, -0.0248176, 9.59685e-05
0.5, 2, 1.6601e-07, 0.0990374, -0.539828, -0.0546708, 7.11924, 0.0860294, -0.458616
0.5, 3, 2.4478e-06, 0.487105, 0.667189, 0.0035255, -5.67066, 3.34903, 0.535226
0.5, 4, 3.2272e-07, 1.05999, -1.63035, -0.0483259, 4.82208, 1.39599, 0.0394636
0.5, 5, 0.00095479, 4.81004, -1.55912, -0.136947, 0.830103, 2.70442, -0.0402486
0.5, 6, 0.00028588, 5.79569, 7.43998, -0.327673, -1.66452, 1.22592, 0.081719
0.5, 7, 4.3662e-05, 14.6426, -12.1374, -0.23832, 0.923373, 1.10722, -0.00175814
0.5, 8, 5.1514e-05, 21.2106, -21.0841, -0.737411, 0.805967, 0.827476, -0.0292722
0.5, 9, 7.396e-09, -10.6198, -27.8696, 12.9037, 1.08626, -0.0963343, -0.327897
1, 0, 1, 0.00710696, 0.00166095, 0.000176436, 0.000372071, -0.00311376, -6.437e-06
1, 1, 3.0035e-06, 0.146061, 0.971605, -0.000114147, -6.31608, 0.95154, -0.000369064
1, 2, 1.6601e-07, 0.266871, -0.517451, -0.0635188, 5.91545, 3.0913, -0.109476
1, 3, 2.4478e-06, 0.482966, -0.7144, -0.0670602, 5.32613, 3.2759, -0.172708
1, 4, 3.2272e-07, 2.68353, -0.287444, -0.00932918, 1.73159, 3.30435, 0.0967016
1, 5, 0.00095479, 5.03645, -0.164556, -0.15158, 0.0683354, 2.83822, -0.0178676
1, 6, 0.00028588, 4.93093, 8.00782, -0.28496, -1.79127, 1.04293, 0.0889763
1, 7, 4.3662e-05, 15.0936, -11.5752, -0.239028, 0.88066, 1.14133, -0.00107244
1, 8, 5.1514e-05, 21.6097, -20.6665, -0.75191, 0.790153, 0.84291, -0.0287216
1, 9, 7.396e-09, -10.0752, -27.9137, 12.7379, 1.09228, -0.0801277, -0.335346
1.5, 0, 1, 0.00748898, 0.000138847, 0.000166559, 0.00112089, -0.00294601, -3.06984e-05
1.5, 1, 3.0035e-06, -0.332734, -1.00584, 0.000466597, 5.59668, -1.85559, 0.000593849
1.5, 2, 1.6601e-07, 0.391654, -0.372936, -0.0585526, 4.1874, 6.01683, 0.266826
1.5, 3, 2.4478e-06, -0.749056, -0.0797896, 0.0445104, 0.137025, -7.09182, -0.372696
1.5, 4, 3.2272e-07, 2.96521, 1.32175, 0.037896, -0.439151, 2.96162, 0.0870658
1.5, 5, 0.00095479, 4.87654, 1.24268, -0.154556, -0.704337, 2.75421, 0.00605528
1.5, 6, 0.00028588, 4.00781, 8.48058, -0.238864, -1.89768, 0.845954, 0.0952321
1.5, 7, 4.3662e-05, 15.523, -10.9964, -0.239392, 0.836697, 1.17378, -0.000385406
1.5, 8, 5.1514e-05, 22.0007, -20.2412, -0.766131, 0.774038, 0.858041, -0.0281602
1.5, 9, 7.396e-09, -9.52756, -27.9497, 12.5684, 1.09809, -0.06359, -0.342837
2, 0, 1, 0.00823504, -0.00127539, 0.000144833, 0.0018835, -0.00264747, -5.70517e-05
2, 1, 3.0035e-06, 0.444952, 0.875576, -0.000117141, -5.69999, 2.88155, -0.00100785
2, 2, 1.6601e-07, 0.442036, -0.108324, -0.0379099, 0.944241, 8.69602, 0.720249
2, 3, 2.4478e-06, 0.495099, 0.571214, -0.0016387, -5.78049, 4.23614, 0.587865
2, 4, 3.2272e-07, 2.37503, 2.57078, 0.0746262, -1.81849, 1.96565, 0.0578048
2, 5, 0.00095479, 4.34112, 2.55413, -0.145601, -1.42311, 2.45773, 0.0295234
2, 6, 0.00028588, 3.03693, 8.85183, -0.189911, -1.98204, 0.637315, 0.10039
2, 7, 4.3662e-05, 15.9301, -10.4017, -0.239413, 0.791545, 1.20454, 0.000302026
2, 8, 5.1514e-05, 22.3837, -19.8085, -0.780069, 0.757628, 0.872861, -0.0275881
2, 9, 7.396e-09, -8.9771, -27.9773, 12.3951, 1.10368, -0.0467167, -0.350368
2.5, 0, 1, 0.00932041, -0.0024567, 0.00011175, 0.0024229, -0.00210191, -7.63396e-05
2.5, 1, 3.0035e-06, -0.625398, -0.854002, 0.000367498, 4.74526, -3.50068, 0.00104178
2.5, 2, 1.6601e-07, 0.381294, 0.248065, -0.00173954, -3.80187, 7.85163, 0.955378
2.5, 3, 2.4478e-06, 0.295255, -0.808101, -0.0595643, 5.813, 2.42042, -0.247753
2.5, 4, 3.2272e-07, 1.23573, 3.22804, 0.0939625, -2.6552, 0.604705, 0.0178467
2.5, 5, 0.00095479, 3.47244, 3.66923, -0.125437, -2.02828, 1.97476, 0.0505795
2.5, 6, 0.00028588, 2.02968, 9.11637, -0.138671, -2.04294, 0.419555, 0.104367
2.5, 7, 4.3662e-05, 16.3144, -9.79212, -0.23909, 0.745268, 1.23355, 0.000988897
2.5, 8, 5.1514e-05, 22.7583, -19.3684, -0.793718, 0.740929, 0.887366, -0.0270054
2.5, 9, 7.396e-09, -8.42391, -27.9963, 12.218, 1.10904, -0.0295032, -0.357937
