time, body_id, mass, pos_x, pos_y, pos_z, vel_x, vel_y, vel_z
0, 0, 1, 0, 0, 0, 0.000721149, 0.000664978, 0
0, 1, 5.01249e-05, 1.65063, -8.74512, 0.581101, 2.05398, 0.388214, 0
0, 2, 4.00338e-05, 8.92518, 6.48237, -0.244507, -1.10221, 1.51922, 0
0, 3, 9.44697e-05, 10.1147, 3.7432, 1.33199, -0.658044, 1.78076, 0
0, 4, 6.55733e-05, 8.14153, 0.0398378, 2.95327, -0.00996833, 2.18524, 0
0, 5, 9.7638e-05, -8.12097, 5.91107, -2.72001, -1.15674, -1.58952, 0
0, 6, 6.56547e-05, 0.987959, 9.09089, -2.45636, -2.04855, 0.223371, 0
0, 7, 7.12277e-05, -10.0615, 2.13227, 2.15964, -0.402245, -1.9008, 0
0, 8, 9.47982e-05, -9.45423, 3.03911, -2.92041, -0.604627, -1.88248, 0
0, 9, 3.16923e-05, 5.91666, 0.595553, -1.61464, -0.255284, 2.54401, 0
0, 10, 8.49875e-05, -4.98289, -11.1786, 0.65998, 1.62815, -0.72477, 0
0, 11, 4.8264e-05, 3.811, 8.40326, 1.53217, -1.86816, 0.848229, 0
0, 12, 1.28182e-05, 2.00662, 7.41577, 0.406202, -2.17015, 0.588077, 0
0, 13, 7.54545e-05, -7.62854, 5.90578, 2.55995, -1.22781, -1.58624, 0
0, 14, 5.68751e-05, -5.737, 10.995, 0.422664, -1.56855, -0.818151, 0
0, 15, 6.46331e-05, -9.0015, -5.45804, 2.79153, 0.996835, -1.64215, 0
0, 16, 2.4874e-05, -2.16033, 13.1067, -1.22236, -1.6868, -0.277484, 0
0, 17, 1.12672e-05, -7.82822, 6.08153, -1.23907, -1.21389, -1.5628, 0
0, 18, 8.11158e-05, 2.98531, 8.96544, 1.26805, -1.92323, 0.641301, 0
0, 19, 8.65035e-05, -6.63637, -9.26539, 2.48976, 1.50183, -1.07451, 0
0, 20, 4.33736e-05, -9.82968, 3.23141, -2.42754, -0.60446, -1.84025, 0
0, 21, 6.05119e-05, -10.4356, -6.74261, -1.35167, 0.960444, -1.4847, 0
0, 22, 8.64022e-05, -9.24345, 8.36568, 2.83027, -1.18392, -1.30827, 0
0, 23, 7.39597e-05, -0.310003, 8.12656, -2.7574, -2.18352, -0.082657, 0
0, 24, 2.81547e-05, 8.8722, 7.42376, -0.363981, -1.17537, 1.40622, 0
0, 25, 2.25398e-05, -9.10973, -3.82549, 1.1731, 0.768534, -1.82775, 0
0, 26, 2.82755e-05, -9.44719, -7.27276, 0.239047, 1.10197, -1.42983, 0
0, 27, 6.61919e-05, -3.49241, -9.65955, 2.28281, 1.8298, -0.660639, 0
0, 28, 5.10881e-05, -3.17207, 10.7583, -2.36703, -1.78455, -0.52572, 0
0, 29, 2.09879e-05, 6.81294, -6.13851, -1.05393, 1.37858, 1.5299, 0
0, 30, 3.44919e-05, -4.46074, 5.65492, 2.44097, -1.82287, -1.43783, 0
0, 31, 5.36347e-05, 3.7302, 6.27642, 0.204537, -1.98239, 1.17927, 0
0, 32, 3.19713e-05, -2.81731, -7.44674, -1.38353, 2.06692, -0.781036, 0
0, 33, 1.58403e-05, -8.43843, -3.22515, -0.576983, 0.741135, -1.93659, 0
0, 34, 7.26674e-05, -0.217954, 8.85766, -1.51874, -2.09277, -0.0508479, 0
0, 35, 9.78953e-05, 8.48249, -0.120433, -1.39931, 0.0311037, 2.1406, 0
0, 36, 4.10564e-05, -9.25361, 5.78829, -2.8017, -0.99986, -1.59894, 0
0, 37, 5.97604e-05, -12.6247, -2.48522, -0.313301, 0.336362, -1.70437, 0
0, 38, 4.32689e-05, -10.1314, -6.67305, -2.51488, 0.98513, -1.49393, 0
0, 39, 4.58942e-05, -11.2568, 2.12532, 2.90054, -0.34096, -1.80906, 0
0, 40, 2.35646e-05, 3.55196, -8.00961, 1.79007, 1.92578, 0.854357, 0
0, 41, 2.98217e-05, 8.72894, -10.7758, -1.04425, 1.30141, 1.05428, 0
0, 42, 4.13799e-05, -2.45602, -9.86068, 1.85701, 1.89817, -0.471935, 0
0, 43, 7.61695e-05, 5.68447, -9.24879, 1.05414, 1.6125, 0.991296, 0
0, 44, 7.26206e-05, 1.28709, 4.89419, 0.248688, -2.6791, 0.705413, 0
0, 45, 3.34746e-05, 8.69391, -0.978159, 0.0998154, 0.236344, 2.09489, 0
0, 46, 6.02464e-05, 8.9526, -0.210771, 2.79252, 0.0497482, 2.08311, 0
0, 47, 8.61995e-05, -1.75109, 9.54685, 1.20215, -1.96726, -0.360302, 0
0, 48, 8.98993e-05, 6.41838, -8.13387, -0.572951, 1.52094, 1.20026, 0
0, 49, 9.4612e-05, -9.88402, -5.48945, -0.766303, 0.900814, -1.62, 0
0, 50, 3.74827e-05, 12.0387, -2.01048, -1.29647, 0.294622, 1.76053, 0
0, 51, 1.16268e-05, 4.23851, -0.147665, -1.94445, 0.106109, 3.02567, 0
0, 52, 4.29822e-05, -8.38747, 0.321959, -1.92706, -0.0818071, -2.14931, 0
0, 53, 5.57933e-05, -4.18649, 10.9622, 0.255241, -1.69922, -0.648542, 0
