time, body_id, mass, pos_x, pos_y, pos_z, vel_x, vel_y, vel_z
0, 0, 1, 0, 0, 0, 0, -0.00337637, 0
0, 1, 3e-06, 1, 0, 0, 0, 6.27962, 0
0, 2, 1.66e-07, 0.387, 0, 0, 0, 9.98962, 0
0, 3, 2.45e-06, 0.723, 0, 0, 0, 7.37662, 0
0, 4, 3.23e-07, 1.524, 0, 0, 0, 5.07862, 0
0, 5, 0.000954, 5.203, 0, 0, 0, 2.75862, 0
0, 6, 0.000286, 9.572, 0, 0, 0, 2.04162, 0
0, 7, 4.36e-05, 19.16, 0, 0, 0, 1.43062, 0
0, 8, 5.12e-05, 30.18, 0, 0, 0, 1.13562, 0
0, 9, 6.54e-09, 39.48, 0, 0, 0, 0.987624, 0
0.5, 0, 1, 0.00019677, -0.00165109, 0, 0.000738339, -0.00323047, 0
0.5, 1, 3e-06, -1.00161, 0.00209652, 0, -0.0227554, -6.27481, 0
0.5, 2, 1.66e-07, 0.320936, 0.214043, 0, -5.60786, 8.28246, 0
0.5, 3, 2.45e-06, 0.281577, -0.667641, 0, 6.79877, 2.86916, 0
0.5, 4, 3.23e-07, -0.152201, 1.51007, 0, -5.06922, -0.52872, 0
0.5, 5, 0.000954, 5.02186, 1.36325, 0, -0.720259, 2.66243, 0
0.5, 6, 0.000286, 9.51795, 1.0189, 0, -0.215979, 2.03017, 0
0.5, 7, 4.36e-05, 19.1465, 0.715145, 0, -0.0539068, 1.42962, 0
0.5, 8, 5.12e-05, 30.1746, 0.567778, 0, -0.021721, 1.13542, 0
0.5, 9, 6.54e-09, 39.4768, 0.493799, 0, -0.0127, 0.987544, 0
1, 0, 1, 0.000748149, -0.00320906, 0, 0.00144357, -0.00296769, 0
1, 1, 3e-06, 1.00071, -0.0107734, 0, 0.0487905, 6.27986, 0
1, 2, 1.66e-07, 0.14479, 0.354233, 0, -9.32185, 3.7095, 0
1, 3, 2.45e-06, -0.503251, -0.521627, 0, 5.29297, -5.14674, 0
1, 4, 3.23e-07, -1.48037, -0.324096, 0, 1.0808, -4.99808, 0
1, 5, 0.000954, 4.49123, 2.63147, 0, -1.38969, 2.38084, 0
1, 6, 0.000286, 9.35645, 2.02637, 0, -0.429368, 1.9959, 0
1, 7, 4.36e-05, 19.1061, 1.42929, 0, -0.107735, 1.42661, 0
1, 8, 5.12e-05, 30.1583, 1.13535, 0, -0.0434339, 1.13481, 0
1, 9, 6.54e-09, 39.4673, 0.987518, 0, -0.0253979, 0.987307, 0
1.5, 0, 1, 0.00163862, -0.00458752, 0, 0.00207069, -0.00248436, 0
1.5, 1, 3e-06, -1.00013, 0.00675149, 0, -0.0688674, -6.27354, 0
1.5, 2, 1.66e-07, -0.0813436, 0.370647, 0, -9.81808, -2.20081, 0
1.5, 3, 2.45e-06, -0.672141, 0.257796, 0, -2.67561, -6.87878, 0
1.5, 4, 3.23e-07, 0.485595, -1.44664, 0, 4.83337, 1.60416, 0
1.5, 5, 0.000954, 3.6485, 3.71653, 0, -1.96133, 1.93421, 0
1.5, 6, 0.000286, 9.08943, 3.01107, 0, -0.637669, 1.9392, 0
1.5, 7, 4.36e-05, 19.0388, 2.14142, 0, -0.161408, 1.4216, 0
1.5, 8, 5.12e-05, 30.1311, 1.70252, 0, -0.0651308, 1.13379, 0
1.5, 9, 6.54e-09, 39.4514, 1.48108, 0, -0.0380916, 0.986911, 0
2, 0, 1, 0.0027877, -0.00570999, 0, 0.00255857, -0.00196264, 0
2, 1, 3e-06, 1.00265, -0.0207193, 0, 0.0969091, 6.28041, 0
2, 2, 1.66e-07, -0.278371, 0.255818, 0, -6.86162, -7.37185, 0
2, 3, 2.45e-06, -0.017795, 0.71701, 0, -7.37423, -0.211854, 0
2, 4, 3.23e-07, 1.39268, 0.618586, 0, -2.08573, 4.63224, 0
2, 5, 0.000954, 2.55285, 4.54346, 0, -2.39555, 1.35453, 0
2, 6, 0.000286, 8.72003, 3.96194, 0, -0.838501, 1.86071, 0
2, 7, 4.36e-05, 18.9447, 2.85056, 0, -0.214852, 1.41459, 0
2, 8, 5.12e-05, 30.0932, 2.26907, 0, -0.0868042, 1.13236, 0
2, 9, 6.54e-09, 39.4292, 1.9744, 0, -0.0507794, 0.986357, 0
2.5, 0, 1, 0.00414772, -0.00651685, 0, 0.0028616, -0.00126957, 0
2.5, 1, 3e-06, -0.997534, 0.0124134, 0, -0.115397, -6.27139, 0
2.5, 2, 1.66e-07, -0.376395, 0.0494956, 0, -1.49546, -9.94329, 0
2.5, 3, 2.45e-06, 0.661872, 0.293726, 0, -3.06178, 6.71208, 0
2.5, 4, 3.23e-07, -0.757522, 1.30616, 0, -4.40494, -2.57278, 0
2.5, 5, 0.000954, 1.28082, 5.05571, 0, -2.66287, 0.682912, 0
2.5, 6, 0.000286, 8.25255, 4.8683, 0, -1.02959, 1.76137, 0
2.5, 7, 4.36e-05, 18.824, 3.55568, 0, -0.267994, 1.40559, 0
2.5, 8, 5.12e-05, 30.0443, 2.83481, 0, -0.108447, 1.13053, 0
2.5, 9, 6.54e-09, 39.4006, 2.46741, 0, -0.0634592, 0.985644, 0
3, 0, 1, 0.00560932, -0.00697274, 0, 0.0029715, -0.000585564, 0
3, 1, 3e-06, 1.00534, -0.02951, 0, 0.144814, 6.28088, 0
3, 2, 1.66e-07, -0.341354, -0.175758, 0, 4.35121, -9.0314, 0
3, 3, 2.45e-06, 0.538196, -0.495952, 0, 4.99387, 5.43556, 0
3, 4, 3.23e-07, -1.2107, -0.912415, 0, 3.04633, -4.10234, 0
3, 5, 0.000954, -0.0792352, 5.21888, 0, -2.74582, -0.0336142, 0
3, 6, 0.000286, 7.69242, 5.72003, 0, -1.20879, 1.64237, 0
3, 7, 4.36e-05, 18.6768, 4.25581, 0, -0.320763, 1.3946, 0
3, 8, 5.12e-05, 29.9847, 3.39953, 0, -0.130051, 1.12829, 0
3, 9, 6.54e-09, 39.3658, 2.96002, 0, -0.0761293, 0.984773, 0
3.5, 0, 1, 0.00710442, -0.0070697, 0, 0.00291629, 0.000187492, 0
3.5, 1, 3e-06, -0.994388, 0.0193468, 0, -0.162379, -6.26904, 0
3.5, 2, 1.66e-07, -0.186451, -0.341964, 0, 8.64904, -5.02034, 0
3.5, 3, 2.45e-06, -0.236132, -0.687955, 0, 6.9526, -2.48186, 0
3.5, 4, 3.23e-07, 1.04158, -1.12421, 0, 3.74248, 3.44838, 0
3.5, 5, 0.000954, -1.43346, 5.02287, 0, -2.6399, -0.74553, 0
3.5, 6, 0.000286, 7.04608, 6.50763, 0, -1.37409, 1.50514, 0
3.5, 7, 4.36e-05, 18.5033, 4.94996, 0, -0.373087, 1.38165, 0
3.5, 8, 5.12e-05, 29.9143, 3.96303, 0, -0.151611, 1.12564, 0
3.5, 9, 6.54e-09, 39.3245, 3.45216, 0, -0.0887879, 0.983743, 0
4, 0, 1, 0.00851758, -0.00681922, 0, 0.00270637, 0.000834113, 0
4, 1, 3e-06, 1.00806, -0.0368971, 0, 0.191833, 6.28096, 0
4, 2, 1.66e-07, 0.0346114, -0.39287, 0, 9.97386, 0.687381, 0
4, 3, 2.45e-06, -0.7134, -0.0478957, 0, 0.422011, -7.36628, 0
4, 4, 3.23e-07, 1.01936, 1.13186, 0, -3.80811, 3.36955, 0
4, 5, 0.000954, -2.689, 4.48223, 0, -2.35351, -1.40426, 0
4, 6, 0.000286, 6.32095, 7.22241, 0, -1.52366, 1.35135, 0
4, 7, 4.36e-05, 18.3038, 5.63714, 0, -0.424897, 1.36675, 0
4, 8, 5.12e-05, 29.8331, 4.5251, 0, -0.173118, 1.12258, 0
4, 9, 6.54e-09, 39.277, 3.94374, 0, -0.101433, 0.982555, 0
4.5, 0, 1, 0.00978733, -0.00625235, 0, 0.00234017, 0.00144764, 0
4.5, 1, 3e-06, -0.991481, 0.0276945, 0, -0.210285, -6.26637, 0
4.5, 2, 1.66e-07, 0.246698, -0.311163, 0, 7.88813, 6.17604, 0
4.5, 3, 2.45e-06, -0.309158, 0.642654, 0, -6.62048, -3.25327, 0
4.5, 4, 3.23e-07, -1.2252, 0.873455, 0, -2.95451, -4.1636, 0
4.5, 5, 0.000954, -3.76025, 3.6349, 0, -1.90709, -1.96541, 0
4.5, 6, 0.000286, 5.52531, 7.85652, 0, -1.65588, 1.18281, 0
4.5, 7, 4.36e-05, 18.0785, 6.31639, 0, -0.476121, 1.34992, 0
4.5, 8, 5.12e-05, 29.7412, 5.08555, 0, -0.194565, 1.11912, 0
4.5, 9, 6.54e-09, 39.2231, 4.43468, 0, -0.114064, 0.981209, 0
5, 0, 1, 0.0108173, -0.00542023, 0, 0.00182133, 0.00184842, 0
5, 1, 3e-06, 1.01005, -0.0430421, 0, 0.238224, 6.28075, 0
5, 2, 1.66e-07, 0.377076, -0.123819, 0, 3.05544, 9.5736, 0
5, 3, 2.45e-06, 0.484447, 0.540873, 0, -5.57386, 4.83621, 0
5, 4, 3.23e-07, -0.723224, -1.33387, 0, 4.46197, -2.47669, 0
5, 5, 0.000954, -4.57453, 2.53938, 0, -1.33154, -2.39149, 0
5, 6, 0.000286, 4.6682, 8.40309, 0, -1.76932, 1.00151, 0
5, 7, 4.36e-05, 17.8278, 6.98674, 0, -0.526692, 1.33117, 0
5, 8, 5.12e-05, 29.6386, 5.64416, 0, -0.215946, 1.11526, 0
5, 9, 6.54e-09, 39.1629, 4.92492, 0, -0.126677, 0.979705, 0
5.5, 0, 1, 0.011579, -0.00439543, 0, 0.00120046, 0.00218507, 0
5.5, 1, 3e-06, -0.989435, 0.0370585, 0, -0.258383, -6.26367, 0
5.5, 2, 1.66e-07, 0.379648, 0.105299, 0, -2.8888, 9.64785, 0
5.5, 3, 2.45e-06, 0.699131, -0.228027, 0, 2.28394, 7.02011, 0
5.5, 4, 3.23e-07, 1.41405, -0.599632, 0, 1.99213, 4.6794, 0
5.5, 5, 0.000954, -5.07678, 1.27068, 0, -0.666036, -2.65425, 0
5.5, 6, 0.000286, 3.75931, 8.85626, 0, -1.86281, 0.809583, 0
5.5, 7, 4.36e-05, 17.552, 7.64725, 0, -0.576537, 1.31055, 0
5.5, 8, 5.12e-05, 29.5253, 6.20074, 0, -0.237253, 1.111, 0
5.5, 9, 6.54e-09, 39.0964, 5.41436, 0, -0.139272, 0.978043, 0
6, 0, 1, 0.0120153, -0.00325986, 0, 0.000535547, 0.00230146, 0
6, 1, 3e-06, 1.01093, -0.0484472, 0, 0.284424, 6.27931, 0
6, 2, 1.66e-07, 0.252675, 0.296138, 0, -7.83465, 6.32429, 0
6, 3, 2.45e-06, 0.0736042, -0.72364, 0, 7.35349, 0.631113, 0
6, 4, 3.23e-07, 0.465303, 1.44863, 0, -4.86378, 1.50711, 0
6, 5, 0.000954, -5.23305, -0.0847026, 0, 0.0445419, -2.7363, 0
6, 6, 0.000286, 2.80887, 9.21127, 0, -1.93541, 0.609242, 0
6, 7, 4.36e-05, 17.2514, 8.29698, 0, -0.625589, 1.28806, 0
6, 8, 5.12e-05, 29.4013, 6.75509, 0, -0.258478, 1.10633, 0
6, 9, 6.54e-09, 39.0236, 5.90294, 0, -0.151845, 0.976224, 0
6.5, 0, 1, 0.0121342, -0.0021015, 0, -0.000111523, 0.00232061, 0
6.5, 1, 3e-06, -0.988525, 0.0469111, 0, -0.306778, -6.26154, 0
6.5, 2, 1.66e-07, 0.041075, 0.381877, 0, -10.0118, 0.797067, 0
6.5, 3, 2.45e-06, -0.627529, -0.339234, 0, 3.44059, -6.52567, 0
6.5, 4, 3.23e-07, -1.47552, 0.287573, 0, -0.973888, -5.01413, 0
6.5, 5, 0.000954, -5.03269, -1.43453, 0, 0.752414, -2.63212, 0
6.5, 6, 0.000286, 1.8275, 9.46448, 0, -1.98643, 0.402781, 0
6.5, 7, 4.36e-05, 16.9265, 8.93501, 0, -0.67378, 1.26375, 0
6.5, 8, 5.12e-05, 29.2668, 7.30701, 0, -0.279615, 1.10127, 0
6.5, 9, 6.54e-09, 38.9446, 6.39056, 0, -0.164397, 0.974248, 0
7, 0, 1, 0.011918, -0.00100583, 0, -0.000711532, 0.00207137, 0
7, 1, 3e-06, 1.01049, -0.0536948, 0, 0.330272, 6.27652, 0
7, 2, 1.66e-07, -0.180582, 0.333879, 0, -8.69839, -4.95671, 0
7, 3, 2.45e-06, -0.547691, 0.456868, 0, -4.67397, -5.70888, 0
7, 4, 3.23e-07, -0.108855, -1.51568, 0, 5.07884, -0.417476, 0
7, 5, 0.000954, -4.48904, -2.68685, 0, 1.4099, -2.34841, 0
7, 6, 0.000286, 0.82611, 9.61342, 0, -2.01544, 0.19253, 0
7, 7, 4.36e-05, 16.5778, 9.56043, 0, -0.72104, 1.23765, 0
7, 8, 5.12e-05, 29.1217, 7.85629, 0, -0.300654, 1.0958, 0
7, 9, 6.54e-09, 38.8592, 6.87716, 0, -0.176923, 0.972115, 0
7.5, 0, 1, 0.0114235, -5.42361e-05, 0, -0.00123421, 0.00172666, 0
7.5, 1, 3e-06, -0.988831, 0.0564942, 0, -0.355145, -6.25962, 0
7.5, 2, 1.66e-07, -0.335933, 0.170503, 0, -4.41353, -8.96523, 0
7.5, 3, 2.45e-06, 0.215347, 0.693585, 0, -7.08144, 2.08369, 0
7.5, 4, 3.23e-07, 1.53506, 0.0314779, 0, -0.107241, 5.08251, 0
7.5, 5, 0.000954, -3.63864, -3.75607, 0, 1.97241, -1.90379, 0
7.5, 6, 0.000286, -0.184242, 9.65677, 0, -2.02227, -0.019164, 0
7.5, 7, 4.36e-05, 16.2056, 10.1724, 0, -0.767305, 1.20979, 0
7.5, 8, 5.12e-05, 28.9662, 8.40274, 0, -0.321591, 1.08994, 0
7.5, 9, 6.54e-09, 38.7677, 7.36265, 0, -0.189423, 0.969825, 0
8, 0, 1, 0.0106818, 0.000686358, 0, -0.00166159, 0.00119052, 0
8, 1, 3e-06, 1.00885, -0.0595772, 0, 0.376678, 6.27284, 0
8, 2, 1.66e-07, -0.37251, -0.0514428, 0, 1.37003, -9.90451, 0
8, 3, 2.45e-06, 0.729007, 0.0827648, 0, -0.839345, 7.33346, 0
8, 4, 3.23e-07, -0.173638, 1.50858, 0, -5.06049, -0.631051, 0
8, 5, 0.000954, -2.53894, -4.56868, 0, 2.40133, -1.32771, 0
8, 6, 0.000286, -1.19247, 9.5944, 0, -2.00697, -0.229972, 0
8, 7, 4.36e-05, 15.8106, 10.7699, 0, -0.812508, 1.18021, 0
8, 8, 5.12e-05, 28.8001, 8.94617, 0, -0.342415, 1.08369, 0
8, 9, 6.54e-09, 38.6698, 7.84696, 0, -0.201895, 0.967378, 0
8.5, 0, 1, 0.00978519, 0.0011597, 0, -0.0019407, 0.000661104, 0
8.5, 1, 3e-06, -0.99003, 0.0651335, 0, -0.402649, -6.25777, 0
8.5, 2, 1.66e-07, -0.277688, -0.255967, 0, 6.71343, -7.44553, 0
8.5, 3, 2.45e-06, 0.364958, -0.628573, 0, 6.42613, 3.62622, 0
8.5, 4, 3.23e-07, -1.4644, -0.35114, 0, 1.18249, -4.96974, 0
8.5, 5, 0.000954, -1.26463, -5.06827, 0, 2.66666, -0.658768, 0
8.5, 6, 0.000286, -2.18758, 9.42733, 0, -1.96987, -0.437603, 0
8.5, 7, 4.36e-05, 15.3933, 11.3523, 0, -0.856586, 1.14894, 0
8.5, 8, 5.12e-05, 28.6238, 9.48637, 0, -0.363122, 1.07704, 0
8.5, 9, 6.54e-09, 38.5658, 8.33, 0, -0.214336, 0.964776, 0
9, 0, 1, 0.00878777, 0.00132955, 0, -0.00203591, 1.66354e-05, 0
9, 1, 3e-06, 1.00647, -0.0664833, 0, 0.42375, 6.26859, 0
9, 2, 1.66e-07, -0.0831878, -0.372026, 0, 9.77117, -2.37462, 0
9, 3, 2.45e-06, -0.433103, -0.570942, 0, 5.83925, -4.50986, 0
9, 4, 3.23e-07, 0.522697, -1.43044, 0, 4.79454, 1.70715, 0
9, 5, 0.000954, 0.097198, -5.21952, 0, 2.74918, 0.0576444, 0
9, 6, 0.000286, -3.1588, 9.1577, 0, -1.9115, -0.639832, 0
9, 7, 4.36e-05, 14.9542, 11.9186, 0, -0.899474, 1.11604, 0
9, 8, 5.12e-05, 28.437, 10.0231, 0, -0.383702, 1.07001, 0
9, 9, 6.54e-09, 38.4555, 8.81171, 0, -0.226745, 0.962017, 0
9.5, 0, 1, 0.00779886, 0.00118185, 0, -0.00192953, -0.000565501, 0
9.5, 1, 3e-06, -0.991506, 0.0726997, 0, -0.449942, -6.25581, 0
9.5, 2, 1.66e-07, 0.143738, -0.357921, 0, 9.41675, 3.56727, 0
9.5, 3, 2.45e-06, -0.691405, 0.185389, 0, -1.88187, -7.13641, 0
9.5, 4, 3.23e-07, 1.38444, 0.654132, 0, -2.18608, 4.58909, 0
9.5, 5, 0.000954, 1.45288, -5.01091, 0, 2.64203, 0.772312, 0
9.5, 6, 0.000286, -4.09566, 8.78876, 0, -1.83262, -0.834518, 0
9.5, 7, 4.36e-05, 14.494, 12.4681, 0, -0.941113, 1.08153, 0
9.5, 8, 5.12e-05, 28.2401, 10.5563, 0, -0.40415, 1.06258, 0
9.5, 9, 6.54e-09, 38.339, 9.29199, 0, -0.23912, 0.959103, 0
10, 0, 1, 0.00688094, 0.000733585, 0, -0.0016659, -0.00119421, 0
10, 1, 3e-06, 1.00402, -0.0744957, 0, 0.471035, 6.2641, 0
10, 2, 1.66e-07, 0.32301, -0.217962, 0, 5.74601, 8.25586, 0
10, 3, 2.45e-06, -0.0956164, 0.716441, 0, -7.30697, -1.0472, 0
10, 4, 3.23e-07, -0.782065, 1.29688, 0, -4.35524, -2.66541, 0
10, 5, 0.000954, 2.7086, -4.4558, 0, 2.35152, 1.43553, 0
10, 6, 0.000286, -4.98816, 8.32478, 0, -1.7342, -1.01963, 0
10, 7, 4.36e-05, 14.0134, 12.9999, 0, -0.981442, 1.04548, 0
10, 8, 5.12e-05, 28.0329, 11.0857, 0, -0.424458, 1.05477, 0
10, 9, 6.54e-09, 38.2164, 9.77078, 0, -0.25146, 0.956033, 0
10.5, 0, 1, 0.00613883, 1.94414e-05, 0, -0.00127011, -0.00166198, 0
10.5, 1, 3e-06, -0.992577, 0.0791056, 0, -0.496492, -6.25346, 0
10.5, 2, 1.66e-07, 0.391664, -0.00193609, 0, 0.0910859, 10.0291, 0
10.5, 3, 2.45e-06, 0.625527, 0.372979, 0, -3.80812, 6.32048, 0
10.5, 4, 3.23e-07, -1.19067, -0.931256, 0, 3.12773, -4.03785, 0
10.5, 5, 0.000954, 3.77701, -3.59176, 0, 1.89699, 2.00066, 0
10.5, 6, 0.000286, -5.8268, 7.77104, 0, -1.61739, -1.19325, 0
10.5, 7, 4.36e-05, 13.5128, 13.5133, 0, -1.0204, 1.00792, 0
10.5, 8, 5.12e-05, 27.8156, 11.611, 0, -0.444619, 1.04658, 0
10.5, 9, 6.54e-09, 38.0876, 10.248, 0, -0.263762, 0.952808, 0
11, 0, 1, 0.00561911, -0.000906389, 0, -0.000767651, -0.00206012, 0
11, 1, 3e-06, 1.00217, -0.0836561, 0, 0.519248, 6.25949, 0
11, 2, 1.66e-07, 0.326878, 0.214207, 0, -5.54338, 8.32452, 0
11, 3, 2.45e-06, 0.590264, -0.426274, 0, 4.34082, 5.96553, 0
11, 4, 3.23e-07, 1.06323, -1.09642, 0, 3.6654, 3.52343, 0
11, 5, 0.000954, 4.58341, -2.47821, 0, 1.30965, 2.42762, 0
11, 6, 0.000286, -6.60271, 7.13374, 0, -1.48354, -1.35362, 0
11, 7, 4.36e-05, 12.9932, 14.0076, 0, -1.05794, 0.968912, 0
11, 8, 5.12e-05, 27.5883, 12.1322, 0, -0.464627, 1.038, 0
11, 9, 6.54e-09, 37.9526, 10.7236, 0, -0.276025, 0.949429, 0
11.5, 0, 1, 0.00539877, -0.0019767, 0, -0.00016057, -0.00220563, 0
11.5, 1, 3e-06, -0.992657, 0.084592, 0, -0.542289, -6.25042, 0
11.5, 2, 1.66e-07, 0.152159, 0.356107, 0, -9.24848, 3.78362, 0
11.5, 3, 2.45e-06, -0.158954, -0.706063, 0, 7.18648, -1.67926, 0
11.5, 4, 3.23e-07, 0.992311, 1.15742, 0, -3.88037, 3.2866, 0
11.5, 5, 0.000954, 5.07131, -1.19231, 0, 0.630442, 2.68593, 0
11.5, 6, 0.000286, -7.30774, 6.4199, 0, -1.33412, -1.49911, 0
11.5, 7, 4.36e-05, 12.4551, 14.482, 0, -1.09401, 0.928498, 0
11.5, 8, 5.12e-05, 27.351, 12.649, 0, -0.484475, 1.02904, 0
11.5, 9, 6.54e-09, 37.8116, 11.1974, 0, -0.288247, 0.945895, 0
12, 0, 1, 0.00548207, -0.00310551, 0, 0.000496231, -0.00225475, 0
12, 1, 3e-06, 1.0014, -0.0933869, 0, 0.567541, 6.25507, 0
12, 2, 1.66e-07, -0.0725509, 0.375334, 0, -9.79508, -2.05584, 0
12, 3, 2.45e-06, -0.707094, -0.125829, 0, 1.25323, -7.27438, 0
12, 4, 3.23e-07, -1.24754, 0.850491, 0, -2.86845, -4.22864, 0
12, 5, 0.000954, 5.20649, 0.176471, 0, -0.0928641, 2.75715, 0
12, 6, 0.000286, -7.93451, 5.63735, 0, -1.17077, -1.62826, 0
12, 7, 4.36e-05, 11.8994, 14.9358, 0, -1.12854, 0.886733, 0
12, 8, 5.12e-05, 27.1039, 13.1612, 0, -0.504155, 1.01971, 0
12, 9, 6.54e-09, 37.6644, 11.6694, 0, -0.300426, 0.942208, 0
12.5, 0, 1, 0.0058967, -0.00420484, 0, 0.00115083, -0.00207549, 0
12.5, 1, 3e-06, -0.991484, 0.0899151, 0, -0.588192, -6.24597, 0
12.5, 2, 1.66e-07, -0.27035, 0.264274, 0, -6.96635, -7.22988, 0
12.5, 3, 2.45e-06, -0.384622, 0.604333, 0, -6.20939, -3.9873, 0
12.5, 4, 3.23e-07, -0.699751, -1.34792, 0, 4.51275, -2.3862, 0
12.5, 5, 0.000954, 4.9796, 1.53277, 0, -0.809285, 2.63632, 0
12.5, 6, 0.000286, -8.47648, 4.79458, 0, -0.995256, -1.7398, 0
12.5, 7, 4.36e-05, 11.3269, 15.3685, 0, -1.1615, 0.843674, 0
12.5, 8, 5.12e-05, 26.8469, 13.6686, 0, -0.523663, 1.01001, 0
12.5, 9, 6.54e-09, 37.5111, 12.1396, 0, -0.31256, 0.938368, 0
13, 0, 1, 0.00660303, -0.00518439, 0, 0.00172493, -0.00181576, 0
13, 1, 3e-06, 1.00179, -0.102935, 0, 0.615684, 6.25126, 0
13, 2, 1.66e-07, -0.372076, 0.0597646, 0, -1.67763, -9.92635, 0
13, 3, 2.45e-06, 0.415175, 0.591338, 0, -6.0866, 4.16842, 0
13, 4, 3.23e-07, 1.42141, -0.571043, 0, 1.89372, 4.71543, 0
13, 5, 0.000954, 4.40677, 2.78219, 0, -1.46844, 2.33229, 0
13, 6, 0.000286, -8.92804, 3.90067, 0, -0.809438, -1.83264, 0
13, 7, 4.36e-05, 10.7382, 15.7793, 0, -1.19283, 0.799378, 0
13, 8, 5.12e-05, 26.5802, 14.1711, 0, -0.542989, 0.999933, 0
